date,quantity
2013-01-02,3731.0
2013-01-03,2532.0
2013-01-04,3017.0
2013-01-05,3854.0
2013-01-06,4099.0
2013-01-07,2689.0
2013-01-08,2521.0
2013-01-09,2889.0
2013-01-10,1955.0
2013-01-11,2209.0
2013-01-12,2858.0
2013-01-13,3490.0
2013-01-14,2062.0
2013-01-15,1884.0
2013-01-16,2683.0
2013-01-17,1910.0
2013-01-18,1987.0
2013-01-19,3105.0
2013-01-20,3332.0
2013-01-21,1949.0
2013-01-23,2115.0
2013-01-24,1359.0
2013-01-25,1874.0
2013-01-26,2831.0
2013-01-27,3424.0
2013-01-28,1679.0
2013-01-29,1955.0
2013-01-30,2204.0
2013-01-31,1666.0
2013-02-01,2619.0
2013-02-02,3663.0
2013-02-03,3775.0
2013-02-04,2135.0
2013-02-05,2265.0
2013-02-06,2482.0
2013-02-07,2162.0
2013-02-08,2178.0
2013-02-09,2541.0
2013-02-10,1840.0
2013-02-11,1965.0
2013-02-12,2551.0
2013-02-13,2196.0
2013-02-14,1688.0
2013-02-15,2194.0
2013-02-16,3461.0
2013-02-17,2643.0
2013-02-18,2424.0
2013-02-19,1662.0
2013-02-20,2232.0
2013-02-21,1656.0
2013-02-22,1856.0
2013-02-23,2804.0
2013-02-24,3064.0
2013-02-25,4494.0
2013-02-26,1640.0
2013-02-27,2038.0
2013-02-28,2210.0
2013-03-01,2476.0
2013-03-02,3584.0
2013-03-03,3996.0
2013-03-04,2736.0
2013-03-05,2180.0
2013-03-06,2570.0
2013-03-07,1691.0
2013-03-08,2117.0
2013-03-09,3056.0
2013-03-10,3229.0
2013-03-11,2046.0
2013-03-12,2026.0
2013-03-13,2283.0
2013-03-14,1557.0
2013-03-15,2161.0
2013-03-16,3298.0
2013-03-17,3747.0
2013-03-18,2330.0
2013-03-19,1867.0
2013-03-20,2382.0
2013-03-21,1720.0
2013-03-22,1952.0
2013-03-24,3214.0
2013-03-25,2035.0
2013-03-26,1179.0
2013-03-27,2603.0
2013-03-28,1781.0
2013-03-29,1998.0
2013-03-30,2761.0
2013-03-31,3095.0
2013-04-01,2742.0
2013-04-02,2357.0
2013-04-03,3003.0
2013-04-04,1988.0
2013-04-05,2082.0
2013-04-06,3603.0
2013-04-07,3619.0
2013-04-08,2161.0
2013-04-09,1849.0
2013-04-10,2339.0
2013-04-11,1556.0
2013-04-12,1762.0
2013-04-13,2882.0
2013-04-14,3081.0
2013-04-15,1942.0
2013-04-16,2201.0
2013-04-17,2277.0
2013-04-18,1698.0
2013-04-19,1875.0
2013-04-20,3294.0
2013-04-21,3403.0
2013-04-22,1862.0
2013-04-23,4543.0
2013-04-24,3795.0
2013-04-25,1496.0
2013-04-26,1780.0
2013-04-27,2697.0
2013-04-28,3208.0
2013-04-29,1802.0
2013-04-30,1804.0
2013-05-01,3578.0
2013-05-02,2227.0
2013-05-03,2138.0
2013-05-04,3377.0
2013-05-05,3963.0
2013-05-06,2201.0
2013-05-07,1811.0
2013-05-08,2789.0
2013-05-09,1840.0
2013-05-10,1973.0
2013-05-11,2998.0
2013-05-12,1969.0
2013-05-13,1971.0
2013-05-14,1708.0
2013-05-15,2411.0
2013-05-16,1980.0
2013-05-17,1883.0
2013-05-18,3169.0
2013-05-19,3146.0
2013-05-20,3008.0
2013-05-21,1681.0
2013-05-22,2326.0
2013-05-23,1766.0
2013-05-24,2408.0
2013-05-25,2414.0
2013-05-26,2795.0
2013-05-27,1862.0
2013-05-28,1810.0
2013-05-29,2176.0
2013-05-30,1847.0
2013-05-31,2491.0
2013-06-01,3519.0
2013-06-02,3713.0
2013-06-03,2950.0
2013-06-04,2373.0
2013-06-05,3038.0
2013-06-06,1985.0
2013-06-07,1891.0
2013-06-08,2895.0
2013-06-09,3439.0
2013-06-10,1963.0
2013-06-11,945.0
2013-06-12,2306.0
2013-06-13,1921.0
2013-06-14,1843.0
2013-06-15,3117.0
2013-06-16,2632.0
