date,quantity
2013-03-16,57.0
2013-03-17,21.0
2013-03-18,1.0
2013-03-20,15.0
2013-03-21,17.0
2013-03-22,55.0
2013-03-23,51.0
2013-03-24,18.0
2013-03-25,10.0
2013-03-26,9.0
2013-03-27,21.0
2013-03-28,30.0
2013-03-29,46.0
2013-03-30,64.0
2013-03-31,20.0
2013-04-01,4.0
2013-04-02,2.0
2013-04-03,16.0
2013-04-04,18.0
2013-04-05,56.0
2013-04-06,58.0
2013-04-07,22.0
2013-04-08,1.0
2013-04-09,3.0
2013-04-10,12.0
2013-04-11,14.0
2013-04-12,44.0
2013-04-13,68.0
2013-04-14,25.0
2013-04-15,3.0
2013-04-16,9.0
2013-04-17,8.0
2013-04-18,9.0
2013-04-19,44.0
2013-04-20,67.0
2013-04-21,19.0
2013-04-22,1.0
2013-04-23,9.0
2013-04-24,16.0
2013-04-25,23.0
2013-04-26,60.0
2013-04-27,70.0
2013-04-28,26.0
2013-04-29,15.0
2013-04-30,41.0
2013-05-01,44.0
2013-05-02,11.0
2013-05-03,36.0
2013-05-04,51.0
2013-05-05,17.0
2013-05-06,5.0
2013-05-07,3.0
2013-05-08,18.0
2013-05-09,30.0
2013-05-10,72.0
2013-05-11,157.0
2013-05-12,90.0
2013-05-13,1.0
2013-05-14,5.0
2013-05-15,13.0
2013-05-16,20.0
2013-05-17,34.0
2013-05-18,69.0
2013-05-19,27.0
2013-05-20,6.0
2013-05-21,6.0
2013-05-22,19.0
2013-05-23,47.0
2013-05-24,94.0
2013-05-25,50.0
2013-05-26,19.0
2013-05-27,10.0
2013-05-28,11.0
2013-05-29,5.0
2013-05-30,9.0
2013-05-31,37.0
2013-06-01,53.0
2013-06-02,22.0
2013-06-03,7.0
2013-06-04,10.0
2013-06-05,13.0
2013-06-06,21.0
2013-06-07,66.0
2013-06-08,50.0
2013-06-09,33.0
2013-06-10,10.0
2013-06-11,5.0
2013-06-12,4.0
2013-06-13,15.0
2013-06-14,98.0
2013-06-15,147.0
2013-06-16,87.0
2013-06-17,7.0
2013-06-18,12.0
2013-06-19,9.0
2013-06-20,22.0
2013-06-21,49.0
2013-06-22,72.0
2013-06-23,22.0
2013-06-24,7.0
2013-06-25,7.0
2013-06-26,4.0
2013-06-27,21.0
2013-06-28,62.0
2013-06-29,61.0
2013-06-30,28.0
2013-07-01,6.0
2013-07-02,2.0
2013-07-03,18.0
2013-07-04,14.0
2013-07-05,48.0
2013-07-06,58.0
2013-07-07,25.0
2013-07-08,7.0
2013-07-09,8.0
2013-07-10,11.0
2013-07-11,12.0
2013-07-12,60.0
2013-07-13,76.0
2013-07-14,36.0
2013-07-15,4.0
2013-07-16,4.0
2013-07-17,13.0
2013-07-18,20.0
2013-07-19,49.0
2013-07-20,34.0
2013-07-21,22.0
2013-07-22,3.0
2013-07-23,5.0
2013-07-24,8.0
2013-07-25,17.0
2013-07-26,44.0
2013-07-27,74.0
2013-07-28,37.0
2013-07-29,4.0
2013-07-30,19.0
