id,date,store_nbr,family,quantity,onpromotion
3036,2013-01-02,44,AUTOMOTIVE,16.0,0
3068,2013-01-02,44,SEAFOOD,150.367,0
3065,2013-01-02,44,PREPARED FOODS,616.862,0
3064,2013-01-02,44,POULTRY,1034.765,0
3061,2013-01-02,44,PERSONAL CARE,716.0,0
3060,2013-01-02,44,MEATS,1072.927,0
3057,2013-01-02,44,LINGERIE,4.0,0
3056,2013-01-02,44,LAWN AND GARDEN,12.0,0
3050,2013-01-02,44,HARDWARE,2.0,0
3049,2013-01-02,44,GROCERY II,135.0,0
3058,2013-01-02,44,"LIQUOR,WINE,BEER",250.0,0
3047,2013-01-02,44,FROZEN FOODS,778.704,0
3048,2013-01-02,44,GROCERY I,10686.0,0
3039,2013-01-02,44,BEVERAGES,5466.0,0
3041,2013-01-02,44,BREAD/BAKERY,1491.913,0
3043,2013-01-02,44,CLEANING,3731.0,0
3038,2013-01-02,44,BEAUTY,7.0,0
3045,2013-01-02,44,DELI,826.643,0
3046,2013-01-02,44,EGGS,997.0,0
3044,2013-01-02,44,DAIRY,2101.0,0
4832,2013-01-03,44,HARDWARE,1.0,0
4850,2013-01-03,44,SEAFOOD,107.334,0
4847,2013-01-03,44,PREPARED FOODS,444.6,0
4846,2013-01-03,44,POULTRY,703.156,0
4843,2013-01-03,44,PERSONAL CARE,423.0,0
4842,2013-01-03,44,MEATS,906.065,0
4840,2013-01-03,44,"LIQUOR,WINE,BEER",207.0,0
4839,2013-01-03,44,LINGERIE,4.0,0
4831,2013-01-03,44,GROCERY II,86.0,0
4825,2013-01-03,44,CLEANING,2532.0,0
4829,2013-01-03,44,FROZEN FOODS,384.741,0
4828,2013-01-03,44,EGGS,607.0,0
4827,2013-01-03,44,DELI,584.147,0
4826,2013-01-03,44,DAIRY,1516.0,0
4823,2013-01-03,44,BREAD/BAKERY,861.014,0
4821,2013-01-03,44,BEVERAGES,3718.0,0
4820,2013-01-03,44,BEAUTY,13.0,0
4818,2013-01-03,44,AUTOMOTIVE,7.0,0
4830,2013-01-03,44,GROCERY I,7342.0,0
6620,2013-01-04,44,LAWN AND GARDEN,8.0,0
6621,2013-01-04,44,LINGERIE,5.0,0
6622,2013-01-04,44,"LIQUOR,WINE,BEER",284.0,0
6624,2013-01-04,44,MEATS,1615.349,0
6632,2013-01-04,44,SEAFOOD,127.464,0
6628,2013-01-04,44,POULTRY,702.713,0
6629,2013-01-04,44,PREPARED FOODS,534.318,0
6614,2013-01-04,44,HARDWARE,2.0,0
6625,2013-01-04,44,PERSONAL CARE,494.0,0
6613,2013-01-04,44,GROCERY II,114.0,0
6607,2013-01-04,44,CLEANING,3017.0,0
6611,2013-01-04,44,FROZEN FOODS,387.549,0
6600,2013-01-04,44,AUTOMOTIVE,18.0,0
6602,2013-01-04,44,BEAUTY,6.0,0
6603,2013-01-04,44,BEVERAGES,4112.0,0
6605,2013-01-04,44,BREAD/BAKERY,1037.572,0
6612,2013-01-04,44,GROCERY I,7250.0,0
6608,2013-01-04,44,DAIRY,1751.0,0
6609,2013-01-04,44,DELI,655.834,0
6610,2013-01-04,44,EGGS,674.0,0
8395,2013-01-05,44,GROCERY II,99.0,0
8410,2013-01-05,44,POULTRY,805.392,0
8407,2013-01-05,44,PERSONAL CARE,797.0,0
8406,2013-01-05,44,MEATS,1305.866,0
8404,2013-01-05,44,"LIQUOR,WINE,BEER",478.0,0
8403,2013-01-05,44,LINGERIE,6.0,0
8402,2013-01-05,44,LAWN AND GARDEN,17.0,0
8396,2013-01-05,44,HARDWARE,9.0,0
8414,2013-01-05,44,SEAFOOD,123.688,0
8411,2013-01-05,44,PREPARED FOODS,736.026,0
8394,2013-01-05,44,GROCERY I,10699.0,0
8392,2013-01-05,44,EGGS,937.0,0
8391,2013-01-05,44,DELI,826.678,0
8390,2013-01-05,44,DAIRY,2131.0,0
8389,2013-01-05,44,CLEANING,3854.0,0
8387,2013-01-05,44,BREAD/BAKERY,1496.56,0
8385,2013-01-05,44,BEVERAGES,6458.0,0
8384,2013-01-05,44,BEAUTY,13.0,0
8382,2013-01-05,44,AUTOMOTIVE,26.0,0
8393,2013-01-05,44,FROZEN FOODS,564.298,0
10178,2013-01-06,44,HARDWARE,3.0,0
10184,2013-01-06,44,LAWN AND GARDEN,6.0,0
10188,2013-01-06,44,MEATS,1547.984,0
10177,2013-01-06,44,GROCERY II,115.0,0
10192,2013-01-06,44,POULTRY,1144.734,0
10193,2013-01-06,44,PREPARED FOODS,800.997,0
10196,2013-01-06,44,SEAFOOD,176.234,0
10189,2013-01-06,44,PERSONAL CARE,1097.0,0
10176,2013-01-06,44,GROCERY I,12373.0,0
10185,2013-01-06,44,LINGERIE,37.0,0
