date,family,quantity
2013-01-01,AUTOMOTIVE,539.0
2013-01-01,BEAUTY,220.0
2013-01-01,BEVERAGES,134704.0
2013-01-01,BREAD/BAKERY,30754.766
2013-01-01,CLEANING,79143.0
2013-01-01,DAIRY,45935.0
2013-01-01,DELI,16604.55798
2013-01-01,EGGS,19285.0
2013-01-01,FROZEN FOODS,11760.96
2013-01-01,GROCERY I,241910.0
2013-01-01,GROCERY II,2446.0
2013-01-01,HARDWARE,121.0
2013-01-01,LAWN AND GARDEN,234.0
2013-01-01,LINGERIE,635.0
2013-01-01,"LIQUOR,WINE,BEER",7006.0
2013-01-01,MEATS,29958.565
2013-01-01,PERSONAL CARE,17087.0
2013-01-01,POULTRY,18843.47697
2013-01-01,PREPARED FOODS,15528.269
2013-01-01,SEAFOOD,3679.544004
2013-02-01,AUTOMOTIVE,506.0
2013-02-01,BEAUTY,173.0
2013-02-01,BEVERAGES,113249.0
2013-02-01,BREAD/BAKERY,27622.757999999998
2013-02-01,CLEANING,68438.0
2013-02-01,DAIRY,43700.0
2013-02-01,DELI,15078.212
2013-02-01,EGGS,17532.0
2013-02-01,FROZEN FOODS,9626.55802
2013-02-01,GROCERY I,215495.0
2013-02-01,GROCERY II,2120.0
2013-02-01,HARDWARE,124.0
2013-02-01,HOME APPLIANCES,11.0
2013-02-01,LAWN AND GARDEN,183.0
2013-02-01,LINGERIE,778.0
2013-02-01,"LIQUOR,WINE,BEER",6556.0
2013-02-01,MEATS,26994.102
2013-02-01,PERSONAL CARE,13831.0
2013-02-01,POULTRY,16667.67198
2013-02-01,PREPARED FOODS,13079.989
2013-02-01,SEAFOOD,3762.260012
2013-03-01,AUTOMOTIVE,574.0
2013-03-01,BEAUTY,178.0
2013-03-01,BEVERAGES,141401.0
2013-03-01,BREAD/BAKERY,33254.92287
2013-03-01,CLEANING,79165.0
2013-03-01,DAIRY,53957.0
2013-03-01,DELI,17688.763
2013-03-01,EGGS,20239.0
2013-03-01,FROZEN FOODS,12292.364
2013-03-01,GROCERY I,244823.0
2013-03-01,GROCERY II,2609.0
2013-03-01,HARDWARE,134.0
2013-03-01,HOME APPLIANCES,105.0
2013-03-01,LAWN AND GARDEN,227.0
2013-03-01,LINGERIE,537.0
2013-03-01,"LIQUOR,WINE,BEER",8036.0
2013-03-01,MEATS,29534.8541
2013-03-01,PERSONAL CARE,12459.0
2013-03-01,POULTRY,18546.16803
2013-03-01,PREPARED FOODS,16604.85702
2013-03-01,PRODUCE,435.0
2013-03-01,SEAFOOD,4502.93898
2013-04-01,AUTOMOTIVE,645.0
2013-04-01,BEAUTY,185.0
2013-04-01,BEVERAGES,132401.0
2013-04-01,BREAD/BAKERY,31971.088
2013-04-01,CLEANING,74701.0
2013-04-01,DAIRY,49255.0
2013-04-01,DELI,17157.78
2013-04-01,EGGS,19315.0
2013-04-01,FROZEN FOODS,12607.42802
2013-04-01,GROCERY I,237864.0
2013-04-01,GROCERY II,2395.0
2013-04-01,HARDWARE,103.0
2013-04-01,HOME APPLIANCES,91.0
2013-04-01,LAWN AND GARDEN,218.0
2013-04-01,LINGERIE,521.0
2013-04-01,"LIQUOR,WINE,BEER",7630.0
2013-04-01,MEATS,28431.59694
2013-04-01,PERSONAL CARE,14435.0
2013-04-01,POULTRY,18195.69197
2013-04-01,PREPARED FOODS,14074.53084
2013-04-01,PRODUCE,763.0
2013-04-01,SEAFOOD,3994.10701
2013-05-01,AUTOMOTIVE,670.0
2013-05-01,BEAUTY,175.0
2013-05-01,BEVERAGES,129241.0
2013-05-01,BREAD/BAKERY,31649.69903
2013-05-01,CLEANING,73716.0
2013-05-01,DAIRY,50641.0
2013-05-01,DELI,17125.008
2013-05-01,EGGS,19750.0
2013-05-01,FROZEN FOODS,13724.909959999999
2013-05-01,GROCERY I,242045.0
2013-05-01,GROCERY II,2673.0
2013-05-01,HARDWARE,94.0
2013-05-01,HOME APPLIANCES,87.0
2013-05-01,LAWN AND GARDEN,283.0
2013-05-01,LINGERIE,429.0
2013-05-01,"LIQUOR,WINE,BEER",8811.0
2013-05-01,MEATS,30371.807
2013-05-01,PERSONAL CARE,12189.0
2013-05-01,POULTRY,19712.76996
2013-05-01,PREPARED FOODS,14038.51095
2013-05-01,PRODUCE,1016.0
2013-05-01,SEAFOOD,4238.673006
2013-06-01,AUTOMOTIVE,558.0
2013-06-01,BEAUTY,213.0
2013-06-01,BEVERAGES,129758.0
2013-06-01,BREAD/BAKERY,31564.99307
2013-06-01,CLEANING,73599.0
2013-06-01,DAIRY,50279.0
2013-06-01,DELI,16576.173
2013-06-01,EGGS,19922.0
2013-06-01,FROZEN FOODS,15368.20898
2013-06-01,GROCERY I,237982.0
2013-06-01,GROCERY II,2468.0
2013-06-01,HARDWARE,83.0
2013-06-01,HOME APPLIANCES,92.0
2013-06-01,LAWN AND GARDEN,318.0
2013-06-01,LINGERIE,577.0
2013-06-01,"LIQUOR,WINE,BEER",8898.0
2013-06-01,MEATS,29600.55894
2013-06-01,PERSONAL CARE,11553.0
2013-06-01,POULTRY,18809.81697
2013-06-01,PREPARED FOODS,13714.17408
2013-06-01,PRODUCE,1024.0
2013-06-01,SEAFOOD,3345.65999
2013-07-01,AUTOMOTIVE,534.0
2013-07-01,BEAUTY,268.0
2013-07-01,BEVERAGES,116986.0
2013-07-01,BREAD/BAKERY,28810.832000000002
2013-07-01,CLEANING,69828.0
2013-07-01,DAIRY,49342.0
2013-07-01,DELI,15341.195
2013-07-01,EGGS,18167.0
2013-07-01,FROZEN FOODS,15306.027
2013-07-01,GROCERY I,234664.0
2013-07-01,GROCERY II,2384.0
2013-07-01,HARDWARE,115.0
2013-07-01,HOME APPLIANCES,78.0
2013-07-01,LAWN AND GARDEN,206.0
2013-07-01,LINGERIE,451.0
2013-07-01,"LIQUOR,WINE,BEER",8345.0
2013-07-01,MEATS,28513.02
2013-07-01,PERSONAL CARE,11953.0
2013-07-01,POULTRY,17422.53397
2013-07-01,PREPARED FOODS,14369.28501
2013-07-01,PRODUCE,749.0
2013-07-01,SEAFOOD,3735.686991
2013-08-01,AUTOMOTIVE,490.0
2013-08-01,BEAUTY,268.0
2013-08-01,BEVERAGES,121577.0
2013-08-01,BREAD/BAKERY,29397.38403
2013-08-01,CLEANING,70777.0
2013-08-01,DAIRY,50221.0
2013-08-01,DELI,16301.04798
2013-08-01,EGGS,18265.0
2013-08-01,FROZEN FOODS,14585.036
2013-08-01,GROCERY I,243398.0
2013-08-01,GROCERY II,2312.0
2013-08-01,HARDWARE,131.0
2013-08-01,HOME APPLIANCES,66.0
2013-08-01,LAWN AND GARDEN,180.0
2013-08-01,LINGERIE,419.0
2013-08-01,"LIQUOR,WINE,BEER",8557.0
2013-08-01,MEATS,28276.05403
2013-08-01,PERSONAL CARE,12338.0
2013-08-01,POULTRY,18367.22
2013-08-01,PREPARED FOODS,13703.02893
2013-08-01,PRODUCE,837.0
2013-08-01,SEAFOOD,3638.601012
2013-09-01,AUTOMOTIVE,476.0
2013-09-01,BEAUTY,172.0
2013-09-01,BEVERAGES,134477.0
2013-09-01,BREAD/BAKERY,33516.35187
2013-09-01,CLEANING,72813.0
2013-09-01,DAIRY,51930.0
2013-09-01,DELI,17893.03402
2013-09-01,EGGS,19258.0
2013-09-01,FROZEN FOODS,15107.73298
2013-09-01,GROCERY I,249854.0
2013-09-01,GROCERY II,2534.0
2013-09-01,HARDWARE,120.0
2013-09-01,HOME APPLIANCES,71.0
2013-09-01,LAWN AND GARDEN,290.0
2013-09-01,LINGERIE,519.0
